order,replicate,arm_id,run_id,attempt_number,attempt_resolved,public_passed,public_total,hidden_passed,hidden_total,hidden_delta,failed_probe_ids,changed_file_count,changed_files,trace_complete,leakage_status,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,total_tokens,file_read_events,unique_files_read,search_events,repeated_search_events,test_runs,edit_events,interface_guess_events,ineffective_edit_attempts,rollback_events,pre_edit_discovery_events
1,1,D_no_verification,20260716T082827Z-2f2748ba,1,0,20,20,9,10,9,test_verify_01_preserves_warehouse_alias,3,src/reservation_fixture/api/reservation.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py,1,passed,0,0,0,0,0,22,20,2,0,2,3,0,0,0,21
1,1,D_no_verification,20260716T082827Z-2f2748ba,2,0,21,21,9,10,0,test_verify_01_preserves_warehouse_alias,3,src/reservation_fixture/api/reservation.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py,1,passed,0,0,0,0,0,7,7,1,0,1,3,3,1,0,8
1,1,D_no_verification,20260716T082827Z-2f2748ba,3,1,23,23,10,10,1,,3,src/reservation_fixture/api/reservation.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py,1,passed,0,0,0,0,0,5,4,1,0,3,3,3,0,0,4
2,1,H_no_handoff,20260716T091130Z-0af8cc95,1,0,20,20,8,10,8,test_unfinished_01_publishes_audit|test_verify_01_preserves_warehouse_alias,3,src/reservation_fixture/api/reservation.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py,1,passed,0,0,0,0,0,25,27,3,0,3,1,0,0,0,25
2,1,H_no_handoff,20260716T091130Z-0af8cc95,2,0,22,22,8,10,0,test_unfinished_01_publishes_audit|test_verify_01_preserves_warehouse_alias,3,src/reservation_fixture/api/reservation.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py,1,passed,0,0,0,0,0,2,2,2,0,2,2,2,1,0,1
2,1,H_no_handoff,20260716T091130Z-0af8cc95,3,0,23,23,8,10,0,test_unfinished_01_publishes_audit|test_verify_01_preserves_warehouse_alias,3,src/reservation_fixture/api/reservation.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py,1,passed,0,0,0,0,0,7,5,2,0,3,4,4,1,0,5
3,1,A_full,20260716T094007Z-b81199f1,1,1,20,20,10,10,10,,3,src/reservation_fixture/api/reservation.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py,1,passed,0,0,0,0,0,20,20,1,0,2,3,0,0,0,21
4,2,E_no_unfinished_items,20260716T094802Z-debd284b,1,0,20,20,9,10,9,test_unfinished_01_publishes_audit,3,src/reservation_fixture/api/reservation.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py,1,passed,0,0,0,0,0,23,23,2,0,3,4,0,0,0,25
4,2,E_no_unfinished_items,20260716T094802Z-debd284b,2,0,20,20,9,10,0,test_unfinished_01_publishes_audit,3,src/reservation_fixture/api/reservation.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py,1,passed,0,0,0,0,0,4,4,1,0,1,2,2,1,0,5
4,2,E_no_unfinished_items,20260716T094802Z-debd284b,3,0,20,20,9,10,0,test_unfinished_01_publishes_audit,3,src/reservation_fixture/api/reservation.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py,1,passed,0,0,0,0,0,4,4,1,0,1,2,2,1,0,5
5,2,A_full,20260716T100731Z-90211800,1,1,20,20,10,10,10,,3,src/reservation_fixture/api/reservation.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py,1,passed,0,0,0,0,0,22,20,2,0,2,3,0,0,0,20
6,1,E_no_unfinished_items,20260716T101802Z-a4969c2a,1,0,19,19,9,10,9,test_unfinished_01_publishes_audit,3,src/reservation_fixture/api/reservation.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py,1,passed,0,0,0,0,0,26,24,2,0,2,6,0,0,0,25
6,1,E_no_unfinished_items,20260716T101802Z-a4969c2a,2,0,19,19,9,10,0,test_unfinished_01_publishes_audit,3,src/reservation_fixture/api/reservation.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py,1,passed,0,0,0,0,0,4,4,0,0,1,2,2,1,0,4
6,1,E_no_unfinished_items,20260716T101802Z-a4969c2a,3,0,19,19,9,10,0,test_unfinished_01_publishes_audit,3,src/reservation_fixture/api/reservation.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py,1,passed,0,0,0,0,0,3,3,1,0,1,2,2,1,0,4
7,2,H_no_handoff,20260716T103416Z-e2dc5931,1,0,22,22,8,10,8,test_unfinished_01_publishes_audit|test_verify_01_preserves_warehouse_alias,5,src/reservation_fixture/api/reservation.py|src/reservation_fixture/domain/models.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py|tests/test_models.py,1,passed,0,0,0,0,0,26,26,2,0,6,3,0,0,0,26
7,2,H_no_handoff,20260716T103416Z-e2dc5931,2,0,26,26,9,10,1,test_unfinished_01_publishes_audit,6,src/reservation_fixture/api/reservation.py|src/reservation_fixture/api/schemas.py|src/reservation_fixture/domain/models.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py|tests/test_models.py,1,passed,0,0,0,0,0,11,8,1,0,4,3,3,0,0,8
7,2,H_no_handoff,20260716T103416Z-e2dc5931,3,0,26,26,9,10,0,test_unfinished_01_publishes_audit,6,src/reservation_fixture/api/reservation.py|src/reservation_fixture/api/schemas.py|src/reservation_fixture/domain/models.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py|tests/test_models.py,1,passed,0,0,0,0,0,3,3,1,0,1,1,1,1,0,4
8,2,D_no_verification,20260716T105407Z-3c06d70e,1,0,20,20,9,10,9,test_verify_01_preserves_warehouse_alias,3,src/reservation_fixture/api/reservation.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py,1,passed,0,0,0,0,0,19,17,3,0,2,4,0,0,0,17
8,2,D_no_verification,20260716T105407Z-3c06d70e,2,1,21,21,10,10,1,,3,src/reservation_fixture/api/reservation.py|src/reservation_fixture/events/audit.py|tests/test_api_reservation.py,1,passed,0,0,0,0,0,5,5,3,0,1,2,2,0,0,7
